family_index,graph6,n,m,Delta,delta,regular,tree,families,descriptions
844,Ps_GK?@?G?_@_???_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.1.3.5.5
845,Ps_GK?@?G?_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.1.3.10
846,Ps_GGE??G?_@_???_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.1.4.4.5
847,Ps_GGE??G?_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.1.4.9
848,Ps_GGC@_??_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.1.5.8
849,Ps_GGC@?K??@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.1.6.7
850,Ps_GGC@?G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.1.1.13
851,PsE?K?@_??o??@_???K????C,17,16,9,1,0,1,spider,spider:arms=1.1.2.2.2.2.2.2.2
852,PsE?K?@_??o??@_???G?@??C,17,16,8,1,0,1,spider,spider:arms=1.1.2.2.2.2.2.4
853,PsE?K?@_??o??@??o???@??C,17,16,8,1,0,1,spider,spider:arms=1.1.2.2.2.2.3.3
854,PsE?K?@_??o??@??_?G?@??C,17,16,7,1,0,1,spider,spider:arms=1.1.2.2.2.2.6
855,PsE?K?@_??_@_???_?G?@??C,17,16,7,1,0,1,spider,spider:arms=1.1.2.2.2.3.5
856,PsE?K?@_??_@?@_???G?@??C,17,16,7,1,0,1,spider,spider:arms=1.1.2.2.2.4.4
857,PsE?K?@_??_@?@??_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.2.2.2.8
858,PsE?K?@?K??@?@_???G?@??C,17,16,7,1,0,1,spider,spider:arms=1.1.2.2.3.3.4
859,PsE?K?@?K??@?@??_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.2.2.3.7
860,PsE?K?@?G?o??@??_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.2.2.4.6
861,PsE?K?@?G?_@_???_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.2.2.5.5
862,PsE?K?@?G?_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.2.2.10
863,PsE?GE??G?o??@??o???@??C,17,16,7,1,0,1,spider,spider:arms=1.1.2.3.3.3.3
864,PsE?GE??G?o??@??_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.2.3.3.6
865,PsE?GE??G?_@_???_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.2.3.4.5
866,PsE?GE??G?_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.2.3.9
867,PsE?GC@_??_@?@_???G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.2.4.4.4
868,PsE?GC@_??_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.2.4.8
869,PsE?GC@?K??@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.2.5.7
870,PsE?GC@?G?o??@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.2.6.6
871,PsE?GC@?G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.1.2.12
872,PsCK?C@_??_@_???_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.3.3.3.5
873,PsCK?C@_??_@?@_???G?@??C,17,16,6,1,0,1,spider,spider:arms=1.1.3.3.4.4
874,PsCK?C@_??_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.3.3.8
875,PsCK?C@?K??@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.3.4.7
876,PsCK?C@?G?o??@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.3.5.6
877,PsCK?C@?G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.1.3.11
878,PsCGK?@?G?o??@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.4.4.6
879,PsCGK?@?G?_@_???_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.1.4.5.5
880,PsCGK?@?G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.1.4.10
881,PsCGGE??G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.1.5.9
882,PsCGGC@_??_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.1.6.8
883,PsCGGC@?K??@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.1.7.7
884,PsCGGC@?G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=1.1.14
885,Pp_K?E??K??@_???o???@??C,17,16,8,1,0,1,spider,spider:arms=1.2.2.2.2.2.2.3
886,Pp_K?E??K??@_???_?G?@??C,17,16,7,1,0,1,spider,spider:arms=1.2.2.2.2.2.5
887,Pp_K?E??K??@?@_???G?@??C,17,16,7,1,0,1,spider,spider:arms=1.2.2.2.2.3.4
888,Pp_K?E??K??@?@??_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.2.2.2.2.7
889,Pp_K?E??G?o??@??o???@??C,17,16,7,1,0,1,spider,spider:arms=1.2.2.2.3.3.3
890,Pp_K?E??G?o??@??_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.2.2.2.3.6
891,Pp_K?E??G?_@_???_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.2.2.2.4.5
892,Pp_K?E??G?_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.2.2.2.9
893,Pp_K?C@_??_@_???_?G?@??C,17,16,6,1,0,1,spider,spider:arms=1.2.2.3.3.5
894,Pp_K?C@_??_@?@_???G?@??C,17,16,6,1,0,1,spider,spider:arms=1.2.2.3.4.4
895,Pp_K?C@_??_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.2.2.3.8
896,Pp_K?C@?K??@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.2.2.4.7
897,Pp_K?C@?G?o??@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.2.2.5.6
898,Pp_K?C@?G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.2.2.11
899,Pp_GK?@?K??@?@_???G?@??C,17,16,6,1,0,1,spider,spider:arms=1.2.3.3.3.4
900,Pp_GK?@?K??@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.2.3.3.7
901,Pp_GK?@?G?o??@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.2.3.4.6
902,Pp_GK?@?G?_@_???_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.2.3.5.5
903,Pp_GK?@?G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.2.3.10
904,Pp_GGE??G?_@_???_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.2.4.4.5
905,Pp_GGE??G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.2.4.9
906,Pp_GGC@_??_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.2.5.8
907,Pp_GGC@?K??@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.2.6.7
908,Pp_GGC@?G?_@?@??_?G?@??C,17,16,3,1,0,1,caterpillar;spider,spider:arms=1.2.13 | caterpillar:spine=16;leaves=0.0.0.0.0.0.0.0.0.0.0.0.0.1.0.0 | caterpillar:spine=16;leaves=0.0.1.0.0.0.0.0.0.0.0.0.0.0.0.0
909,PpE?GE??G?o??@??o???@??C,17,16,6,1,0,1,spider,spider:arms=1.3.3.3.3.3
910,PpE?GE??G?o??@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.3.3.3.6
911,PpE?GE??G?_@_???_?G?@??C,17,16,5,1,0,1,spider,spider:arms=1.3.3.4.5
912,PpE?GE??G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.3.3.9
913,PpE?GC@_??_@?@_???G?@??C,17,16,5,1,0,1,spider,spider:arms=1.3.4.4.4
914,PpE?GC@_??_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.3.4.8
915,PpE?GC@?K??@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.3.5.7
916,PpE?GC@?G?o??@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.3.6.6
917,PpE?GC@?G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=1.3.12
918,PpCK?C@?K??@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.4.4.7
919,PpCK?C@?G?o??@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.4.5.6
920,PpCK?C@?G?_@?@??_?G?@??C,17,16,3,1,0,1,caterpillar;spider,spider:arms=1.4.11 | caterpillar:spine=15;leaves=0.0.0.0.0.0.0.0.0.0.0.1.0.0.1
921,PpCGK?@?G?_@_???_?G?@??C,17,16,4,1,0,1,spider,spider:arms=1.5.5.5
922,PpCGK?@?G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=1.5.10
923,PpCGGE??G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=1.6.9
924,PpCGGC@_??_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=1.7.8
925,PkE?K?@_??o??@_???K????C,17,16,8,1,0,1,spider,spider:arms=2.2.2.2.2.2.2.2
926,PkE?K?@_??o??@_???G?@??C,17,16,7,1,0,1,spider,spider:arms=2.2.2.2.2.2.4
927,PkE?K?@_??o??@??o???@??C,17,16,7,1,0,1,spider,spider:arms=2.2.2.2.2.3.3
928,PkE?K?@_??o??@??_?G?@??C,17,16,6,1,0,1,spider,spider:arms=2.2.2.2.2.6
929,PkE?K?@_??_@_???_?G?@??C,17,16,6,1,0,1,spider,spider:arms=2.2.2.2.3.5
930,PkE?K?@_??_@?@_???G?@??C,17,16,6,1,0,1,spider,spider:arms=2.2.2.2.4.4
931,PkE?K?@_??_@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=2.2.2.2.8
932,PkE?K?@?K??@?@_???G?@??C,17,16,6,1,0,1,spider,spider:arms=2.2.2.3.3.4
933,PkE?K?@?K??@?@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=2.2.2.3.7
934,PkE?K?@?G?o??@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=2.2.2.4.6
935,PkE?K?@?G?_@_???_?G?@??C,17,16,5,1,0,1,spider,spider:arms=2.2.2.5.5
936,PkE?K?@?G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.2.2.10
937,PkE?GE??G?o??@??o???@??C,17,16,6,1,0,1,spider,spider:arms=2.2.3.3.3.3
938,PkE?GE??G?o??@??_?G?@??C,17,16,5,1,0,1,spider,spider:arms=2.2.3.3.6
939,PkE?GE??G?_@_???_?G?@??C,17,16,5,1,0,1,spider,spider:arms=2.2.3.4.5
940,PkE?GE??G?_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.2.3.9
941,PkE?GC@_??_@?@_???G?@??C,17,16,5,1,0,1,spider,spider:arms=2.2.4.4.4
942,PkE?GC@_??_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.2.4.8
943,PkE?GC@?K??@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.2.5.7
944,PkE?GC@?G?o??@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.2.6.6
945,PkE?GC@?G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=2.2.12
946,PkCK?C@_??_@_???_?G?@??C,17,16,5,1,0,1,spider,spider:arms=2.3.3.3.5
947,PkCK?C@_??_@?@_???G?@??C,17,16,5,1,0,1,spider,spider:arms=2.3.3.4.4
948,PkCK?C@_??_@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.3.3.8
949,PkCK?C@?K??@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.3.4.7
950,PkCK?C@?G?o??@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.3.5.6
951,PkCK?C@?G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=2.3.11
952,PkCGK?@?G?o??@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.4.4.6
953,PkCGK?@?G?_@_???_?G?@??C,17,16,4,1,0,1,spider,spider:arms=2.4.5.5
954,PkCGK?@?G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=2.4.10
955,PkCGGE??G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=2.5.9
956,PkCGGC@_??_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=2.6.8
957,PkCGGC@?K??@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=2.7.7
958,Ph_GK?@?K??@?@_???G?@??C,17,16,5,1,0,1,spider,spider:arms=3.3.3.3.4
959,Ph_GK?@?K??@?@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=3.3.3.7
960,Ph_GK?@?G?o??@??_?G?@??C,17,16,4,1,0,1,spider,spider:arms=3.3.4.6
961,Ph_GK?@?G?_@_???_?G?@??C,17,16,4,1,0,1,spider,spider:arms=3.3.5.5
962,Ph_GK?@?G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=3.3.10
963,Ph_GGE??G?_@_???_?G?@??C,17,16,4,1,0,1,spider,spider:arms=3.4.4.5
964,Ph_GGE??G?_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=3.4.9
965,Ph_GGC@_??_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=3.5.8
966,Ph_GGC@?K??@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=3.6.7
967,PhE?GC@_??_@?@_???G?@??C,17,16,4,1,0,1,spider,spider:arms=4.4.4.4
968,PhE?GC@_??_@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=4.4.8
969,PhE?GC@?K??@?@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=4.5.7
970,PhE?GC@?G?o??@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=4.6.6
971,PhCK?C@?G?o??@??_?G?@??C,17,16,3,1,0,1,spider,spider:arms=5.5.6
972,QsaCCA?_C?O?_?_?O?C??_?A???,18,17,17,1,0,1,caterpillar;complete_multipartite;spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1 | complete_multipartite:parts=1.17 | caterpillar:spine=2;leaves=0.16 | caterpillar:spine=2;leaves=16.0
973,QsaCCA?_C?O?_?_?O?C??_????G,18,17,16,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.2 | caterpillar:spine=2;leaves=1.15 | caterpillar:spine=2;leaves=15.1 | caterpillar:spine=3;leaves=0.0.15 | caterpillar:spine=3;leaves=15.0.0
974,QsaCCA?_C?O?_?_?O?C????C??G,18,17,15,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.1.1.1.3
975,QsaCCA?_C?O?_?_?O???@_????G,18,17,15,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.1.1.2.2
976,QsaCCA?_C?O?_?_?O???@??C??G,18,17,14,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.1.1.4
977,QsaCCA?_C?O?_?_???K????C??G,18,17,14,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.1.2.3
978,QsaCCA?_C?O?_?_???G?@??C??G,18,17,13,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.1.5
979,QsaCCA?_C?O?_???o???@_????G,18,17,14,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.2.2.2
980,QsaCCA?_C?O?_???o???@??C??G,18,17,13,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.2.4
981,QsaCCA?_C?O?_???_?K????C??G,18,17,13,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.3.3
982,QsaCCA?_C?O?_???_?G?@??C??G,18,17,12,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.1.6
983,QsaCCA?_C?O??@_???K????C??G,18,17,13,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.2.2.3
984,QsaCCA?_C?O??@_???G?@??C??G,18,17,12,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.2.5
985,QsaCCA?_C?O??@??o???@??C??G,18,17,12,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.3.4
986,QsaCCA?_C?O??@??_?G?@??C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.1.7
987,QsaCCA?_C??@_???o???@_????G,18,17,13,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.2.2.2.2
988,QsaCCA?_C??@_???o???@??C??G,18,17,12,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.2.2.4
989,QsaCCA?_C??@_???_?K????C??G,18,17,12,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.2.3.3
990,QsaCCA?_C??@_???_?G?@??C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.2.6
991,QsaCCA?_C??@?@_???G?@??C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.3.5
992,QsaCCA?_C??@?@??o???@??C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.4.4
993,QsaCCA?_C??@?@??_?G?@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.1.8
994,QsaCCA?_??o??@_???K????C??G,18,17,12,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.2.2.2.3
995,QsaCCA?_??o??@_???G?@??C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.2.2.5
996,QsaCCA?_??o??@??o???@??C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.2.3.4
997,QsaCCA?_??o??@??_?G?@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.2.7
998,QsaCCA?_??_@_???_?K????C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.3.3.3
999,QsaCCA?_??_@_???_?G?@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.3.6
1000,QsaCCA?_??_@?@_???G?@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.1.4.5
1001,QsaCCA?_??_@?@??_?G?@??C??G,18,17,9,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.1.1.1.9 | caterpillar:spine=10;leaves=8.0.0.0.0.0.0.0.0.0
1002,QsaCCA??K??@_???o???@_????G,18,17,12,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.2.2.2.2.2
1003,QsaCCA??K??@_???o???@??C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.2.2.2.4
1004,QsaCCA??K??@_???_?K????C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.2.2.3.3
1005,QsaCCA??K??@_???_?G?@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.2.2.6
1006,QsaCCA??K??@?@_???G?@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.2.3.5
1007,QsaCCA??K??@?@??o???@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.2.4.4
1008,QsaCCA??K??@?@??_?G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.2.8
1009,QsaCCA??G?o??@??o???@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.3.3.4
1010,QsaCCA??G?o??@??_?G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.3.7
1011,QsaCCA??G?_@_???_?G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.4.6
1012,QsaCCA??G?_@?@_???G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.5.5
1013,QsaCCA??G?_@?@??_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.1.1.10
1014,QsaCC?@_??o??@_???K????C??G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.1.2.2.2.2.3
1015,QsaCC?@_??o??@_???G?@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.2.2.2.5
1016,QsaCC?@_??o??@??o???@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.2.2.3.4
1017,QsaCC?@_??o??@??_?G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.1.2.2.7
1018,QsaCC?@_??_@_???_?K????C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.1.2.3.3.3
1019,QsaCC?@_??_@_???_?G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.1.2.3.6
1020,QsaCC?@_??_@?@_???G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.1.2.4.5
1021,QsaCC?@_??_@?@??_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.1.2.9
1022,QsaCC?@?K??@?@_???G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.1.3.3.5
1023,QsaCC?@?K??@?@??o???@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.1.3.4.4
1024,QsaCC?@?K??@?@??_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.1.3.8
1025,QsaCC?@?G?o??@??_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.1.4.7
1026,QsaCC?@?G?_@_???_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.1.5.6
1027,QsaCC?@?G?_@?@??_?G?@??C??G,18,17,7,1,0,1,caterpillar;spider,spider:arms=1.1.1.1.1.1.11 | caterpillar:spine=12;leaves=6.0.0.0.0.0.0.0.0.0.0.0
1028,QsaC?E??K??@_???o???@_????G,18,17,11,1,0,1,spider,spider:arms=1.1.1.1.1.2.2.2.2.2.2
1029,QsaC?E??K??@_???o???@??C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.2.2.2.2.4
1030,QsaC?E??K??@_???_?K????C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.1.2.2.2.3.3
1031,QsaC?E??K??@_???_?G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.2.2.2.6
1032,QsaC?E??K??@?@_???G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.2.2.3.5
1033,QsaC?E??K??@?@??o???@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.2.2.4.4
1034,QsaC?E??K??@?@??_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.2.2.8
1035,QsaC?E??G?o??@??o???@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.2.3.3.4
1036,QsaC?E??G?o??@??_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.2.3.7
1037,QsaC?E??G?_@_???_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.2.4.6
1038,QsaC?E??G?_@?@_???G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.2.5.5
1039,QsaC?E??G?_@?@??_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.1.2.10
1040,QsaC?C@_??_@_???_?K????C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.1.3.3.3.3
1041,QsaC?C@_??_@_???_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.3.3.6
1042,QsaC?C@_??_@?@_???G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.3.4.5
1043,QsaC?C@_??_@?@??_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.1.3.9
1044,QsaC?C@?K??@?@??o???@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.1.4.4.4
1045,QsaC?C@?K??@?@??_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.1.4.8
1046,QsaC?C@?G?o??@??_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.1.5.7
1047,QsaC?C@?G?_@_???_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.1.6.6
1048,QsaC?C@?G?_@?@??_?G?@??C??G,18,17,6,1,0,1,spider,spider:arms=1.1.1.1.1.12
1049,Qsa?K?@_??o??@_???K????C??G,18,17,10,1,0,1,spider,spider:arms=1.1.1.1.2.2.2.2.2.3
1050,Qsa?K?@_??o??@_???G?@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.2.2.2.2.5
1051,Qsa?K?@_??o??@??o???@??C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.2.2.2.3.4
1052,Qsa?K?@_??o??@??_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.2.2.2.7
1053,Qsa?K?@_??_@_???_?K????C??G,18,17,9,1,0,1,spider,spider:arms=1.1.1.1.2.2.3.3.3
1054,Qsa?K?@_??_@_???_?G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.2.2.3.6
1055,Qsa?K?@_??_@?@_???G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.2.2.4.5
1056,Qsa?K?@_??_@?@??_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.2.2.9
1057,Qsa?K?@?K??@?@_???G?@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.2.3.3.5
1058,Qsa?K?@?K??@?@??o???@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.2.3.4.4
1059,Qsa?K?@?K??@?@??_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.2.3.8
1060,Qsa?K?@?G?o??@??_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.2.4.7
1061,Qsa?K?@?G?_@_???_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.2.5.6
1062,Qsa?K?@?G?_@?@??_?G?@??C??G,18,17,6,1,0,1,spider,spider:arms=1.1.1.1.2.11
1063,Qsa?GE??G?o??@??o???@??C??G,18,17,8,1,0,1,spider,spider:arms=1.1.1.1.3.3.3.4
1064,Qsa?GE??G?o??@??_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.3.3.7
1065,Qsa?GE??G?_@_???_?G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.3.4.6
1066,Qsa?GE??G?_@?@_???G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.3.5.5
1067,Qsa?GE??G?_@?@??_?G?@??C??G,18,17,6,1,0,1,spider,spider:arms=1.1.1.1.3.10
1068,Qsa?GC@_??_@?@_???G?@??C??G,18,17,7,1,0,1,spider,spider:arms=1.1.1.1.4.4.5
1069,Qsa?GC@_??_@?@??_?G?@??C??G,18,17,6,1,0,1,spider,spider:arms=1.1.1.1.4.9
1070,Qsa?GC@?K??@?@??_?G?@??C??G,18,17,6,1,0,1,spider,spider:arms=1.1.1.1.5.8
1071,Qsa?GC@?G?o??@??_?G?@??C??G,18,17,6,1,0,1,spider,spider:arms=1.1.1.1.6.7
