graph6,n,m,mismatches,certificate_failures,all_values_agree,all_stored_certificates_valid
FQjVo,7,12,,,True,True
FQjVw,7,13,,,True,True
FQjdg,7,11,,,True,True
FQjdo,7,11,,,True,True
FQjdw,7,12,,,True,True
FQjew,7,12,,,True,True
FQjfG,7,11,,,True,True
FQjfW,7,12,,,True,True
FQjfg,7,12,,,True,True
FQjfo,7,12,,,True,True
FQjfw,7,13,,,True,True
FQjlw,7,13,,,True,True
FQjnW,7,13,,,True,True
FQjno,7,13,,,True,True
FQjnw,7,14,,,True,True
FQjuw,7,13,,,True,True
FQjvW,7,13,,,True,True
FQjvg,7,13,,,True,True
FQjvo,7,13,,,True,True
FQjvw,7,14,,,True,True
FQj~o,7,14,,,True,True
FQj~w,7,15,,,True,True
FQyqw,7,12,,,True,True
FQytW,7,12,,,True,True
FQyuW,7,12,,,True,True
FQyuo,7,12,,,True,True
FQyuw,7,13,,,True,True
FQyvO,7,12,,,True,True
FQyvW,7,13,,,True,True
FQyv_,7,12,,,True,True
FQyvo,7,13,,,True,True
FQyvw,7,14,,,True,True
FQy}w,7,14,,,True,True
FQy~o,7,14,,,True,True
FQy~w,7,15,,,True,True
FQzTo,7,12,,,True,True
FQzUW,7,12,,,True,True
FQzUo,7,12,,,True,True
FQzVO,7,12,,,True,True
FQzVW,7,13,,,True,True
FQzV_,7,12,,,True,True
FQzVo,7,13,,,True,True
FQzVw,7,14,,,True,True
FQz^o,7,14,,,True,True
FQz^w,7,15,,,True,True
FQzlw,7,14,,,True,True
FQzmw,7,14,,,True,True
FQznW,7,14,,,True,True
FQzno,7,14,,,True,True
FQznw,7,15,,,True,True
FQzuo,7,13,,,True,True
FQzvO,7,13,,,True,True
FQzvg,7,14,,,True,True
FQzvo,7,14,,,True,True
FQzvw,7,15,,,True,True
FQz~w,7,16,,,True,True
FQ~vW,7,15,,,True,True
FQ~vo,7,15,,,True,True
FQ~vw,7,16,,,True,True
FQ~~w,7,17,,,True,True
FTm~o,7,15,,,True,True
FTm~w,7,16,,,True,True
FTnvg,7,15,,,True,True
FTnvo,7,15,,,True,True
FTnvw,7,16,,,True,True
FTn~w,7,17,,,True,True
FTznw,7,16,,,True,True
FTzvW,7,15,,,True,True
FTzvg,7,15,,,True,True
FTzvo,7,15,,,True,True
FTzvw,7,16,,,True,True
FTz~w,7,17,,,True,True
FT~~w,7,18,,,True,True
FUZuw,7,14,,,True,True
FUZvW,7,14,,,True,True
FUZv_,7,13,,,True,True
FUZvg,7,14,,,True,True
FUZvo,7,14,,,True,True
FUZvw,7,15,,,True,True
FUZ~o,7,15,,,True,True
FUZ~w,7,16,,,True,True
FUxuo,7,13,,,True,True
FUxvO,7,13,,,True,True
FUxv_,7,13,,,True,True
FUxvo,7,14,,,True,True
FUxvw,7,15,,,True,True
FUz]w,7,15,,,True,True
FUz^o,7,15,,,True,True
FUz^w,7,16,,,True,True
FUzro,7,14,,,True,True
FUzvW,7,15,,,True,True
FUzvo,7,15,,,True,True
FUzvw,7,16,,,True,True
FUz~w,7,17,,,True,True
FU~vW,7,16,,,True,True
FU~vo,7,16,,,True,True
FU~vw,7,17,,,True,True
FU~~w,7,18,,,True,True
FV~~w,7,19,,,True,True
F]y~w,7,17,,,True,True
F]zlw,7,16,,,True,True
F]znW,7,16,,,True,True
F]zno,7,16,,,True,True
F]znw,7,17,,,True,True
F]z~w,7,18,,,True,True
F]~vo,7,17,,,True,True
F]~vw,7,18,,,True,True
F]~~w,7,19,,,True,True
F^~~w,7,20,,,True,True
F~~~w,7,21,,,True,True
G???F{,8,7,,,True,True
G?AFbW,8,9,,,True,True
G?BDHw,8,9,,,True,True
G?BFEo,8,9,,,True,True
G?Bev_,8,11,,,True,True
G?`DBw,8,9,,,True,True
G?`FC{,8,10,,,True,True
G?`alg,8,10,,,True,True
G?`c^s,8,12,,,True,True
G?`eLc,8,10,,,True,True
G?`efW,8,11,,,True,True
G?`fUw,8,12,,,True,True
G?`u\{,8,14,,,True,True
G?`vf_,8,12,,,True,True
G?b@dK,8,9,,,True,True
G?bBeW,8,10,,,True,True
G?bE^w,8,13,,,True,True
G?bLU{,8,13,,,True,True
G?bNFc,8,12,,,True,True
G?bbU{,8,13,,,True,True
G?belw,8,13,,,True,True
G?bffs,8,14,,,True,True
G?bvvW,8,15,,,True,True
G?otts,8,13,,,True,True
G?ovTg,8,12,,,True,True
G?o~Dw,8,13,,,True,True
G?qa`{,8,11,,,True,True
G?qbbc,8,11,,,True,True
G?qdv[,8,14,,,True,True
G?qfrw,8,14,,,True,True
G?qm^s,8,15,,,True,True
G?qnbo,8,13,,,True,True
G?qtd[,8,13,,,True,True
G?qvF_,8,12,,,True,True
G?q|p{,8,15,,,True,True
G?rFVw,8,14,,,True,True
G?rNfs,8,15,,,True,True
G?rfNo,8,14,,,True,True
G?rnc{,8,15,,,True,True
G?zUv{,8,17,,,True,True
G?zfVg,8,15,,,True,True
GCOedg,8,10,,,True,True
GCQRFs,8,12,,,True,True
GCQUvg,8,13,,,True,True
GCQbUc,8,11,,,True,True
GCQdn[,8,14,,,True,True
GCQefo,8,12,,,True,True
GCQfVS,8,13,,,True,True
GCQtfg,8,13,,,True,True
GCQul{,8,15,,,True,True
GCQv^w,8,16,,,True,True
GCRUvw,8,15,,,True,True
GCR^uw,8,16,,,True,True
GCRcr{,8,14,,,True,True
GCRd~{,8,17,,,True,True
GCRuvW,8,15,,,True,True
GCXetg,8,13,,,True,True
GCXmbS,8,13,,,True,True
GCXnf[,8,16,,,True,True
GCY^S{,8,15,,,True,True
GCZJfW,8,14,,,True,True
GCZLes,8,14,,,True,True
GCZNLk,8,15,,,True,True
GCZT~{,8,18,,,True,True
GCZVfk,8,16,,,True,True
GCZbnW,8,15,,,True,True
GCZfVo,8,15,,,True,True
GCZnb{,8,17,,,True,True
GCdedo,8,12,,,True,True
GCdfv{,8,17,,,True,True
GCpVUg,8,13,,,True,True
GCpbfo,8,13,,,True,True
GCpdu[,8,14,,,True,True
GCpf]{,8,16,,,True,True
GCpvRw,8,15,,,True,True
GCqn~{,8,19,,,True,True
GCrM\{,8,16,,,True,True
GCrV^s,8,17,,,True,True
GCrbf{,8,16,,,True,True
GCrfv{,8,18,,,True,True
GCrtv{,8,18,,,True,True
GCu~c{,8,17,,,True,True
GCvdrs,8,16,,,True,True
GCvvnk,8,19,,,True,True
GCz]~k,8,19,,,True,True
GCznbw,8,17,,,True,True
GEhffO,8,14,,,True,True
GEhu|{,8,18,,,True,True
GEh}vw,8,18,,,True,True
GEjbvk,8,17,,,True,True
GEjtvw,8,18,,,True,True
GEnfnk,8,19,,,True,True
GEu~nw,8,20,,,True,True
GEzvfk,8,19,,,True,True
GQinvk,8,18,,,True,True
GQjV~w,8,19,,,True,True
GQjuv[,8,18,,,True,True
GQzTu{,8,18,,,True,True
GTzvvs,8,21,,,True,True
G~~~~{,8,28,,,True,True
H????B~,9,8,,,True,True
H?ABEjM,9,12,,,True,True
H?AEJvx,9,15,,,True,True
H?B@`zq,9,13,,,True,True
H?B@ve~,9,17,,,True,True
H?BDMa\,9,13,,,True,True
H?BDljm,9,16,,,True,True
H?BFMr{,9,16,,,True,True
H?BevN],9,18,,,True,True
H?`@fv|,9,17,,,True,True
H?`DFhv,9,15,,,True,True
H?`Ddpv,9,15,,,True,True
H?`F@^},9,16,,,True,True
H?`Ffrm,9,17,,,True,True
H?`alL^,9,16,,,True,True
H?`bNAT,9,13,,,True,True
H?`bnrw,9,17,,,True,True
H?`cm^\,9,17,,,True,True
H?`c~R{,9,17,,,True,True
H?`eNm},9,18,,,True,True
H?`ebZk,9,15,,,True,True
H?`ejru,9,17,,,True,True
H?`fEx|,9,17,,,True,True
H?`rnRT,9,17,,,True,True
H?`vJpZ,9,17,,,True,True
H?aKZbx,9,15,,,True,True
H?b@fBl,9,14,,,True,True
H?bBFJ],9,15,,,True,True
H?bBdT\,9,15,,,True,True
H?bDtgz,9,16,,,True,True
H?bFEYv,9,16,,,True,True
H?bFeZq,9,16,,,True,True
H?bLvy},9,20,,,True,True
H?bNVr},9,20,,,True,True
H?bb^jy,9,19,,,True,True
H?befGv,9,16,,,True,True
H?bfMl~,9,20,,,True,True
H?optrM,9,16,,,True,True
H?otVbi,9,16,,,True,True
H?ovCmt,9,16,,,True,True
H?ovdZi,9,17,,,True,True
H?o~\z~,9,23,,,True,True
H?qadRw,9,14,,,True,True
H?qbSvp,9,16,,,True,True
H?qbuzz,9,20,,,True,True
H?qdvP},9,18,,,True,True
H?qfFrN,9,18,,,True,True
H?qkzz],9,20,,,True,True
H?qmzz|,9,22,,,True,True
H?qrrs~,9,20,,,True,True
H?qvBj\,9,18,,,True,True
H?qvbre,9,18,,,True,True
H?rFVRR,9,17,,,True,True
H?rdvVt,9,20,,,True,True
H?rltzt,9,21,,,True,True
H?zedz],9,20,,,True,True
HCOefEm,9,15,,,True,True
HCQREry,9,16,,,True,True
HCQURz},9,19,,,True,True
HCQVd~|,9,21,,,True,True
HCQbU^\,9,18,,,True,True
HCQbrrb,9,17,,,True,True
HCQeLq{,9,16,,,True,True
HCQebZl,9,17,,,True,True
HCQfBZE,9,15,,,True,True
HCQfRhn,9,18,,,True,True
HCQtb^f,9,19,,,True,True
HCQuen^,9,20,,,True,True
HCQvRt},9,20,,,True,True
HCRUnO^,9,18,,,True,True
HCR`tzV,9,19,,,True,True
HCRcrrN,9,18,,,True,True
HCRdrzy,9,20,,,True,True
HCRuuon,9,19,,,True,True
HCXfUjR,9,18,,,True,True
HCXnB\},9,20,,,True,True
HCY^VIN,9,19,,,True,True
HCZJnZ~,9,23,,,True,True
HCZLujz,9,21,,,True,True
HCZTfN},9,21,,,True,True
HCZVnz},9,24,,,True,True
HCZevjl,9,21,,,True,True
HCdbMj},9,19,,,True,True
HCdfM~|,9,22,,,True,True
HCp`eil,9,16,,,True,True
HCpbvR^,9,20,,,True,True
HCpdmp^,9,19,,,True,True
HCpfI~^,9,21,,,True,True
HCpfnYz,9,21,,,True,True
HCqnbu},9,21,,,True,True
HCrRVff,9,20,,,True,True
HCrbvim,9,20,,,True,True
HCrnZ~~,9,26,,,True,True
HCvenpz,9,22,,,True,True
HCzfbzn,9,23,,,True,True
HEhuVo},9,20,,,True,True
HEjdnT},9,22,,,True,True
HEr~~~~,9,30,,,True,True
HQjVn^},9,25,,,True,True
H~~~~~~,9,36,,,True,True
