global_pair_index,g6_G,g6_H,n_G,n_H,bb_gt,ilp_gt,bb_gd,ilp_gd,cartesian_witness_ok,direct_witness_ok,agree,gt_status,gd_status
713,CV,DQw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
714,CV,DQ{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
715,CV,DTw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
716,CV,DT{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
717,CV,DUW,4,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
718,CV,DUw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
719,CV,DU{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
720,CV,DV{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
721,CV,D]w,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
722,CV,D]{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
723,CV,D^{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
724,CV,D~{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
728,CV,E?ow,4,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
753,CV,ECpo,4,6,6,6,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
756,CV,ECrg,4,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
778,CV,EEjo,4,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
821,CV,EUZo,4,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
837,C],C],4,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
838,C],C^,4,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
839,C],C~,4,4,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
840,C],D?{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
841,C],DCw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
842,C],DC{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
843,C],DEk,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
844,C],DEw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
845,C],DE{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
846,C],DFw,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
847,C],DF{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
848,C],DQo,4,5,6,6,6,6,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
849,C],DQw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
850,C],DQ{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
851,C],DTw,4,5,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
852,C],DT{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
853,C],DUW,4,5,6,6,6,6,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
854,C],DUw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
855,C],DU{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
856,C],DV{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
857,C],D]w,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
858,C],D]{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
859,C],D^{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
860,C],D~{,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
866,C],E?qw,4,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
911,C],EEio,4,6,6,6,6,6,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
912,C],EEjW,4,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
961,C],EUzo,4,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
973,C^,C^,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
974,C^,C~,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
975,C^,D?{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
976,C^,DCw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
977,C^,DC{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
978,C^,DEk,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
979,C^,DEw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
980,C^,DE{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
981,C^,DFw,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
982,C^,DF{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
983,C^,DQo,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
984,C^,DQw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
985,C^,DQ{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
986,C^,DTw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
987,C^,DT{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
988,C^,DUW,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
989,C^,DUw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
990,C^,DU{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
991,C^,DV{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
992,C^,D]w,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
993,C^,D]{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
994,C^,D^{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
995,C^,D~{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1012,C^,ECRw,4,6,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1034,C^,ECxw,4,6,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1108,C~,C~,4,4,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1109,C~,D?{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1110,C~,DCw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1111,C~,DC{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1112,C~,DEk,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1113,C~,DEw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1114,C~,DE{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1115,C~,DFw,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1116,C~,DF{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1117,C~,DQo,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1118,C~,DQw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1119,C~,DQ{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1120,C~,DTw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1121,C~,DT{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1122,C~,DUW,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1123,C~,DUw,4,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1124,C~,DU{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1125,C~,DV{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1126,C~,D]w,4,5,4,4,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1127,C~,D]{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1128,C~,D^{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1129,C~,D~{,4,5,4,4,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1224,C~,EUZO,4,6,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1242,D?{,D?{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1243,D?{,DCw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1244,D?{,DC{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1245,D?{,DEk,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1246,D?{,DEw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1247,D?{,DE{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1248,D?{,DFw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1249,D?{,DF{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1250,D?{,DQo,5,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1251,D?{,DQw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1252,D?{,DQ{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1253,D?{,DTw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1254,D?{,DT{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1255,D?{,DUW,5,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1256,D?{,DUw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1257,D?{,DU{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1258,D?{,DV{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1259,D?{,D]w,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1260,D?{,D]{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1261,D?{,D^{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1262,D?{,D~{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1275,D?{,E?~o,5,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1356,D?{,ET~w,5,6,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1372,D?{,E]~w,5,6,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1375,DCw,DCw,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1376,DCw,DC{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1377,DCw,DEk,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1378,DCw,DEw,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1379,DCw,DE{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1380,DCw,DFw,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1381,DCw,DF{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1382,DCw,DQo,5,5,8,8,6,6,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1383,DCw,DQw,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1384,DCw,DQ{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1385,DCw,DTw,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1386,DCw,DT{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1387,DCw,DUW,5,5,8,8,6,6,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1388,DCw,DUw,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1389,DCw,DU{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1390,DCw,DV{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1391,DCw,D]w,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1392,DCw,D]{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1393,DCw,D^{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1394,DCw,D~{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1408,DCw,E?~w,5,6,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1431,DCw,ECvw,5,6,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1442,DCw,EEho,5,6,9,9,6,6,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1472,DCw,EQjg,5,6,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1500,DCw,E]zg,5,6,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1507,DC{,DC{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1508,DC{,DEk,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1509,DC{,DEw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1510,DC{,DE{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1511,DC{,DFw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1512,DC{,DF{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1513,DC{,DQo,5,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1514,DC{,DQw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1515,DC{,DQ{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1516,DC{,DTw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1517,DC{,DT{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1518,DC{,DUW,5,5,5,5,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1519,DC{,DUw,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1520,DC{,DU{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1521,DC{,DV{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1522,DC{,D]w,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1523,DC{,D]{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1524,DC{,D^{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1525,DC{,D~{,5,5,5,5,3,3,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1566,DC{,ECzg,5,6,6,6,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1602,DC{,EQj_,5,6,6,6,5,5,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1638,DEk,DEk,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1639,DEk,DEw,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1640,DEk,DE{,5,5,5,5,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
1641,DEk,DFw,5,5,7,7,4,4,1,1,1,Optimization terminated successfully. (HiGHS Status 7: Optimal),Optimization terminated successfully. (HiGHS Status 7: Optimal)
